
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
118, 1522553049, 135968334, 1054495, 1898066
119, 0, 1070803, 1054632, 1898066
120, 0, 765349, 1052222, 1898066
120, 0, 11092638, 1052222, 1898066
121, 0, 1056731, 1052259, 1898066
121, 1522553049, 176338424, 1052259, 1898066
122, 0, 997423, 1051810, 1898066
123, 0, 775615, 1049565, 1898066
123, 0, 11110560, 1049565, 1898066
124, 0, 1077570, 1049790, 1898066
124, 1522553049, 216781275, 1049790, 1898066
125, 0, 1010136, 1049473, 1898066
126, 0, 776244, 1047305, 1898066
126, 0, 11115669, 1047305, 1898066
127, 0, 1081480, 1047574, 1898066
127, 1522553049, 257146625, 1047574, 1898066
128, 0, 1633213, 1052149, 1898066
129, 0, 787967, 1050102, 1898066
129, 0, 11198569, 1050102, 1898066
130, 0, 1136152, 1050763, 1898066
130, 1522553049, 297652624, 1050763, 1898066
131, 0, 1083947, 1051016, 1898066
132, 0, 748986, 1048728, 1898066
132, 0, 11124074, 1048728, 1898066
133, 0, 1062490, 1048831, 1898066
133, 1522553049, 337972277, 1048831, 1898066
134, 0, 1061952, 1048928, 1898066
135, 0, 776626, 1046911, 1898066
135, 0, 11162392, 1046911, 1898066
136, 0, 1107318, 1047355, 1898066
136, 1522553049, 378494688, 1047355, 1898066
137, 0, 1064645, 1047481, 1898066
138, 0, 762131, 1045414, 1898066
138, 0, 11172843, 1045414, 1898066
139, 0, 1145634, 1046135, 1898066
139, 1522553049, 418868404, 1046135, 1898066
140, 0, 1048430, 1046151, 1898066
141, 0, 757792, 1044106, 1898066
141, 0, 11150588, 1044106, 1898066
142, 0, 1084057, 1044387, 1898066
142, 1522553049, 459269723, 1044387, 1898066
143, 0, 1046540, 1044402, 1898066
144, 0, 759911, 1042427, 1898066
144, 0, 11167031, 1042427, 1898066
145, 0, 1101644, 1042835, 1898066
145, 1522553049, 499731666, 1042835, 1898066
146, 0, 1059336, 1042948, 1898066
147, 0, 779790, 1041158, 1898066
