Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,420757,0,0,,,,
0,0,0,425165,0,0,,,,
0,0,0,415302,0,0,,,,
0,0,0,496481,0,0,,,,
0,0,0,437763,0,0,,,,
0,0,0,492736,0,0,,,,
0,0,0,454904,0,0,,,,
0,0,0,430406,0,0,,,,
0,0,0,508928,0,0,,,,
0,0,0,506618,0,0,,,,
0,0,0,471807,0,0,,,,
0,0,0,462517,0,0,,,,
0,0,0,465467,0,0,,,,
0,0,0,462375,0,0,,,,
0,0,0,451418,0,0,,,,
0,0,0,469108,0,0,,,,
0,0,0,460027,0,0,,,,
0,0,0,450529,0,0,,,,
0,0,0,468790,0,0,,,,
0,0,0,464917,0,0,,,,
0,0,0,448805,0,0,,,,
0,0,0,449150,0,0,,,,
0,0,0,470069,0,0,,,,
0,0,0,457393,0,0,,,,
0,0,0,447531,0,0,,,,
0,0,0,485116,0,0,,,,
0,0,0,490618,0,0,,,,
0,0,0,415443,0,0,,,,
0,0,0,415059,0,0,,,,
0,0,0,413061,0,0,,,,
0,0,0,426688,0,0,,,,
0,0,0,444273,0,0,,,,
0,0,0,441963,0,0,,,,
0,0,0,426996,0,0,,,,
0,0,0,473123,0,0,,,,
0,0,0,432219,0,0,,,,
0,0,0,426887,0,0,,,,
0,0,0,426087,0,0,,,,
0,0,0,436902,0,0,,,,
0,0,0,434018,0,0,,,,
0,0,0,440562,0,0,,,,
0,0,0,413356,0,0,,,,
0,0,0,406618,0,0,,,,
0,0,0,415297,0,0,,,,
0,0,0,416529,0,0,,,,
0,0,0,426353,0,0,,,,
0,0,0,427272,0,0,,,,
0,0,0,410325,0,0,,,,
0,0,0,415879,0,0,,,,
0,0,0,413101,0,0,,,,
0,0,0,411311,0,0,,,,
0,0,0,424938,0,0,,,,
0,0,0,428252,0,0,,,,
0,0,0,415629,0,0,,,,
0,0,0,408318,0,0,,,,
0,0,0,413768,0,0,,,,
0,0,0,425260,0,0,,,,
0,0,0,431543,0,0,,,,
0,0,0,409180,0,0,,,,
0,0,0,412339,0,0,,,,
0,0,0,411226,0,0,,,,
0,0,0,408707,0,0,,,,
0,0,0,428012,0,0,,,,
0,0,0,446582,0,0,,,,
0,0,0,452268,0,0,,,,
0,0,0,439476,0,0,,,,
0,0,0,413038,0,0,,,,
0,0,0,497902,0,0,,,,
0,0,0,490682,0,0,,,,
0,0,0,449348,0,0,,,,
0,0,0,448015,0,0,,,,
0,0,0,476941,0,0,,,,
0,0,0,461336,0,0,,,,
0,0,0,439690,0,0,,,,
0,0,0,442367,0,0,,,,
0,0,0,445408,0,0,,,,
0,0,0,455063,0,0,,,,
0,0,0,455188,0,0,,,,
0,0,0,440989,0,0,,,,
0,0,0,445593,0,0,,,,
0,0,0,443217,0,0,,,,
0,0,0,434539,0,0,,,,
0,0,0,447788,0,0,,,,
0,0,0,526818,0,0,,,,
0,0,0,449026,0,0,,,,
0,0,0,408214,0,0,,,,
0,0,0,405786,0,0,,,,
0,0,0,419765,0,0,,,,
0,0,0,418326,0,0,,,,
0,0,0,407983,0,0,,,,
0,0,0,414773,0,0,,,,
0,0,0,412710,0,0,,,,
0,0,0,418043,0,0,,,,
0,0,0,417699,0,0,,,,
0,0,0,412250,0,0,,,,
0,0,0,409458,0,0,,,,
0,0,0,410729,0,0,,,,
0,0,0,421687,0,0,,,,
0,0,0,417645,0,0,,,,
0,0,0,405374,0,0,,,,
0,0,0,407581,0,0,,,,
