
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
1, 0, 1107464, 1107464, 0
2, 0, 1095790, 1101627, 0
3, 0, 1069012, 1090756, 0
4, 0, 1100567, 1093208, 0
5, 0, 1586808, 1191928, 0
6, 0, 1686123, 1274293, 0
7, 0, 1593147, 1319843, 0
8, 0, 1625327, 1358028, 0
9, 0, 1593236, 1384162, 0
10, 0, 1604271, 1406172, 1604271
11, 0, 1677700, 1430856, 1677700
12, 0, 1662641, 1450171, 1677700
13, 0, 1647425, 1465344, 1677700
14, 0, 1665751, 1479658, 1677700
15, 0, 1691265, 1493765, 1691265
16, 0, 1679851, 1505395, 1691265
17, 0, 2089738, 1539768, 2089738
18, 0, 1119838, 1516439, 2089738
19, 0, 1092643, 1494134, 2089738
20, 0, 1094719, 1474164, 2089738
21, 0, 1080962, 1455441, 2089738
22, 0, 1079236, 1438341, 2089738
23, 0, 1108499, 1424001, 2089738
24, 0, 1887187, 1443300, 2089738
25, 0, 1096974, 1429447, 2089738
26, 0, 1082227, 1416093, 2089738
27, 0, 1081698, 1403708, 2089738
28, 0, 1099868, 1392857, 2089738
29, 0, 1081684, 1382127, 2089738
30, 0, 1083499, 1372173, 2089738
31, 0, 1105783, 1363580, 2089738
32, 0, 1087287, 1354946, 2089738
33, 0, 1165456, 1349204, 2089738
34, 0, 1075970, 1341168, 2089738
35, 0, 1075129, 1333567, 2089738
36, 0, 1581735, 1340460, 2089738
37, 0, 1663966, 1349203, 2089738
38, 0, 1770052, 1360277, 2089738
39, 0, 1685462, 1368615, 2089738
40, 0, 1621862, 1374946, 2089738
41, 0, 1621645, 1380963, 2089738
42, 0, 1614086, 1386513, 2089738
43, 0, 1612829, 1391776, 2089738
44, 0, 1625686, 1397092, 2089738
45, 0, 1654116, 1402803, 2089738
46, 0, 1656921, 1408327, 2089738
47, 0, 1797174, 1416600, 2089738
48, 0, 1899718, 1426664, 2089738
49, 0, 1791638, 1434112, 2089738
50, 0, 1897255, 1443374, 2089738
51, 0, 1897977, 1452287, 2089738
52, 0, 1924792, 1461373, 2089738
53, 0, 1919003, 1470007, 2089738
54, 0, 1901913, 1478005, 2089738
55, 0, 1929561, 1486215, 2089738
56, 0, 2245074, 1499766, 2245074
57, 0, 1873349, 1506320, 2245074
58, 0, 1848289, 1512216, 2245074
59, 0, 1785730, 1516851, 2245074
60, 0, 1183954, 1511303, 2245074
60, 0, 11956511, 1511303, 2245074
61, 0, 1907947, 1517805, 2245074
61, 1522540104, 258594350, 1517805, 2245074
62, 0, 1099401, 1511057, 2245074
63, 0, 830385, 1500253, 2245074
63, 0, 11131276, 1500253, 2245074
64, 0, 1112869, 1494201, 2245074
64, 1522540104, 298777430, 1494201, 2245074
65, 0, 1036142, 1487154, 2245074
66, 0, 808689, 1476875, 2245074
66, 0, 11120257, 1476875, 2245074
67, 0, 1095964, 1471190, 2245074
67, 1522540104, 339078895, 1471190, 2245074
68, 0, 1035436, 1464782, 2245074
69, 0, 796263, 1455094, 2245074
69, 0, 11164966, 1455094, 2245074
70, 0, 1123902, 1450363, 2245074
70, 1522540104, 379168016, 1450363, 2245074
71, 0, 1083525, 1445197, 2245074
72, 0, 800651, 1436245, 2245074
72, 0, 11202628, 1436245, 2245074
73, 0, 1144168, 1432244, 2245074
73, 1522540104, 419625089, 1432244, 2245074
74, 0, 1109209, 1427879, 2245074
75, 0, 821595, 1419796, 2245074
75, 0, 11205499, 1419796, 2245074
76, 0, 1139800, 1416112, 2245074
76, 1522540104, 460040861, 1416112, 2245074
77, 0, 1118383, 1412246, 2245074
78, 0, 812279, 1404555, 2245074
78, 0, 11224881, 1404555, 2245074
79, 0, 1157984, 1401434, 2245074
79, 1522540104, 500430851, 1401434, 2245074
80, 0, 1159744, 1398413, 2245074
81, 0, 815411, 1391216, 2245074
81, 0, 11208899, 1391216, 2245074
82, 0, 1142470, 1388183, 2245074
82, 1522540104, 540871310, 1388183, 2245074
83, 0, 1169959, 1385554, 2245074
84, 0, 823647, 1378865, 2245074
84, 0, 11220520, 1378865, 2245074
85, 0, 1151905, 1376195, 2245074
85, 1522540104, 581316769, 1376195, 2245074
86, 0, 1099133, 1372974, 2245074
87, 0, 804488, 1366440, 2245074
87, 0, 11217454, 1366440, 2245074
88, 0, 1149671, 1363977, 2245074
88, 1522540104, 621749259, 1363977, 2245074
89, 0, 1117890, 1361212, 2245074
90, 0, 820275, 1355202, 2245074
90, 0, 11236992, 1355202, 2245074
91, 0, 1174314, 1353215, 2245074
91, 1522540104, 662213572, 1353215, 2245074
92, 0, 1104511, 1350512, 2245074
93, 0, 832574, 1344943, 2245074
93, 0, 11207781, 1344943, 2245074
94, 0, 1140935, 1342773, 2245074
94, 1522540104, 702588146, 1342773, 2245074
95, 0, 1100196, 1340220, 2245074
96, 0, 807893, 1334675, 2245074
96, 0, 11256902, 1334675, 2245074
97, 0, 1180786, 1333089, 2245074
97, 1522540104, 743144177, 1333089, 2245074
98, 0, 1099629, 1330707, 2245074
99, 0, 813005, 1325478, 2245074
99, 0, 11215763, 1325478, 2245074
100, 0, 1154231, 1323766, 2245074
100, 1522540104, 783474064, 1323766, 2245074
101, 0, 1101043, 1321561, 2245074
102, 0, 805460, 1316502, 2245074
102, 0, 11211239, 1316502, 2245074
103, 0, 1153717, 1314922, 2245074
103, 1522540104, 823896606, 1314922, 2245074
104, 0, 1120373, 1313052, 2245074
105, 0, 821092, 1308367, 2245074
105, 0, 11288225, 1308367, 2245074
106, 0, 1254765, 1307862, 2245074
106, 1522540104, 864307899, 1307862, 2245074
107, 0, 1104754, 1305964, 2245074
108, 0, 821046, 1301475, 2245074
108, 0, 11200837, 1301475, 2245074
109, 0, 1138835, 1299983, 2245074
109, 1522540104, 904740597, 1299983, 2245074
110, 0, 1102522, 1298188, 2245074
111, 0, 812668, 1293814, 2245074
111, 0, 11214698, 1293814, 2245074
112, 0, 1158842, 1292609, 2245074
112, 1522540104, 945150223, 1292609, 2245074
113, 0, 1099143, 1290897, 2245074
114, 0, 809706, 1286677, 2245074
114, 0, 11213402, 1286677, 2245074
115, 0, 1150723, 1285495, 2245074
115, 1522540104, 985556828, 1285495, 2245074
116, 0, 1115817, 1284033, 2245074
117, 0, 816432, 1280037, 2245074
117, 0, 11201794, 1280037, 2245074
118, 0, 1139428, 1278846, 2245074
118, 1522540105, 25956819, 1278846, 2245074
119, 0, 1103064, 1277369, 2245074
120, 0, 846491, 1273779, 2245074
120, 0, 11202478, 1273779, 2245074
121, 0, 1142248, 1272692, 2245074
121, 1522540105, 66371809, 1272692, 2245074
122, 0, 1150987, 1271695, 2245074
123, 0, 807123, 1267918, 2245074
123, 0, 11214673, 1267918, 2245074
124, 0, 1155380, 1267011, 2245074
124, 1522540105, 106809664, 1267011, 2245074
125, 0, 1177035, 1266292, 2245074
126, 0, 812181, 1262688, 2245074
126, 0, 11211242, 1262688, 2245074
127, 0, 1150491, 1261805, 2245074
127, 1522540105, 147236425, 1261805, 2245074
128, 0, 1116886, 1260673, 2245074
129, 0, 831251, 1257345, 2245074
129, 0, 11234426, 1257345, 2245074
130, 0, 1173207, 1256698, 2245074
130, 1522540105, 187614436, 1256698, 2245074
131, 0, 1139758, 1255806, 2245074
132, 0, 815112, 1252468, 2245074
132, 0, 11208860, 1252468, 2245074
133, 0, 1148630, 1251688, 2245074
133, 1522540105, 228059426, 1251688, 2245074
134, 0, 1218671, 1251442, 2245074
135, 0, 818817, 1248238, 2245074
135, 0, 11212619, 1248238, 2245074
136, 0, 1159888, 1247589, 2245074
136, 1522540105, 268539471, 1247589, 2245074
137, 0, 1106712, 1246561, 2245074
138, 0, 810200, 1243399, 2245074
138, 0, 11315583, 1243399, 2245074
139, 0, 1254883, 1243481, 2245074
139, 1522540105, 309035283, 1243481, 2245074
140, 0, 1124362, 1242631, 2245074
141, 0, 810977, 1239570, 2245074
141, 0, 11216620, 1239570, 2245074
142, 0, 1150764, 1238945, 2245074
142, 1522540105, 349343491, 1238945, 2245074
143, 0, 1191180, 1238611, 2245074
144, 0, 814305, 1235665, 2245074
144, 0, 11239740, 1235665, 2245074
145, 0, 1187478, 1235333, 2245074
145, 1522540105, 389892271, 1235333, 2245074
146, 0, 1100186, 1234408, 2245074
147, 0, 818415, 1231579, 2245074
147, 0, 11237443, 1231579, 2245074
148, 0, 1177161, 1231212, 2245074
148, 1522540105, 430178656, 1231212, 2245074
149, 0, 1106482, 1230375, 2245074
150, 0, 813045, 1227593, 2245074
150, 0, 11228688, 1227593, 2245074
151, 0, 1162520, 1227163, 2245074
151, 1522540105, 470594207, 1227163, 2245074
152, 0, 1111270, 1226401, 2245074
153, 0, 833768, 1223835, 2245074
153, 0, 11242173, 1223835, 2245074
154, 0, 1141266, 1223299, 2245074
154, 1522540105, 510979029, 1223299, 2245074
155, 0, 1150431, 1222829, 2245074
156, 0, 809129, 1220178, 2245074
156, 0, 11187689, 1220178, 2245074
157, 0, 1150636, 1219736, 2245074
157, 1522540105, 551453904, 1219736, 2245074
158, 0, 1087197, 1218898, 2245074
159, 0, 821364, 1216398, 2245074
159, 0, 11187059, 1216398, 2245074
160, 0, 1148287, 1215973, 2245074
160, 1522540105, 591896642, 1215973, 2245074
161, 0, 1095109, 1215223, 2245074
162, 0, 804431, 1212688, 2245074
162, 0, 11191272, 1212688, 2245074
163, 0, 1151772, 1212315, 2245074
163, 1522540105, 632288339, 1212315, 2245074
164, 0, 1151145, 1211943, 2245074
165, 0, 838541, 1209680, 2245074
165, 0, 11188403, 1209680, 2245074
166, 0, 1152288, 1209335, 2245074
166, 1522540105, 672853057, 1209335, 2245074
167, 0, 1130776, 1208865, 2245074
168, 0, 842390, 1206684, 2245074
168, 0, 11202305, 1206684, 2245074
169, 0, 1148116, 1206338, 2245074
169, 1522540105, 713103400, 1206338, 2245074
170, 0, 1101865, 1205724, 2245074
171, 0, 814937, 1203439, 2245074
171, 0, 11853287, 1203439, 2245074
172, 0, 1794411, 1206874, 2245074
172, 1522540105, 754240043, 1206874, 2245074
173, 0, 1119568, 1206370, 2245074
174, 0, 815557, 1204124, 2245074
174, 0, 11224534, 1204124, 2245074
175, 0, 1163314, 1203891, 2245074
175, 1522540105, 794653772, 1203891, 2245074
176, 0, 1129198, 1203467, 2245074
177, 0, 849302, 1201467, 2245074
177, 0, 11207914, 1201467, 2245074
178, 0, 1153621, 1201199, 2245074
178, 1522540105, 835070885, 1201199, 2245074
179, 0, 1106954, 1200673, 2245074
180, 0, 812109, 1198515, 2245074
180, 0, 11218535, 1198515, 2245074
181, 0, 1155544, 1198278, 2245074
181, 1522540105, 874887064, 1198278, 2245074
182, 0, 1114866, 1197820, 2245074
