Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,
0,0,0,489586,0,0,,,
0,0,0,458451,0,0,,,
0,0,0,467107,0,0,,,
0,0,0,488159,0,0,,,
0,0,0,478638,0,0,,,
0,0,0,452816,0,0,,,
0,0,0,460743,0,0,,,
0,0,0,452004,0,0,,,
0,0,0,464046,0,0,,,
0,0,0,455984,0,0,,,
0,0,0,467609,0,0,,,
0,0,0,478661,0,0,,,
0,0,0,460182,0,0,,,
0,0,0,451963,0,0,,,
0,0,0,461245,0,0,,,
0,0,0,459380,0,0,,,
0,0,0,481580,0,0,,,
0,0,0,411226,0,0,,,
0,0,0,413632,0,0,,,
0,0,0,418487,0,0,,,
0,0,0,423341,0,0,,,
0,0,0,406842,0,0,,,
0,0,0,415289,0,0,,,
0,0,0,410404,0,0,,,
0,0,0,414008,0,0,,,
0,0,0,425320,0,0,,,
0,0,0,425228,0,0,,,
0,0,0,413207,0,0,,,
0,0,0,474311,0,0,,,
0,0,0,447082,0,0,,,
0,0,0,434645,0,0,,,
0,0,0,503822,0,0,,,
0,0,0,491280,0,0,,,
0,0,0,482905,0,0,,,
0,0,0,465833,0,0,,,
0,0,0,461365,0,0,,,
0,0,0,457156,0,0,,,
0,0,0,465917,0,0,,,
0,0,0,466344,0,0,,,
0,0,0,454064,0,0,,,
0,0,0,444387,0,0,,,
0,0,0,464553,0,0,,,
0,0,0,452429,0,0,,,
0,0,0,448742,0,0,,,
0,0,0,469168,0,0,,,
0,0,0,448918,0,0,,,
0,0,0,462991,0,0,,,
0,0,0,474304,0,0,,,
0,0,0,493068,0,0,,,
0,0,0,570788,0,0,,,
0,0,0,483302,0,0,,,
0,0,0,594415,0,0,,,
0,0,0,477293,0,0,,,
0,0,0,463608,0,0,,,
0,0,0,449818,0,0,,,
0,0,0,438894,0,0,,,
0,0,0,434062,0,0,,,
0,0,0,455012,0,0,,,
0,0,0,447993,0,0,,,
0,0,0,433163,0,0,,,
0,0,0,446091,0,0,,,
0,0,0,435896,0,0,,,
0,0,0,450231,0,0,,,
0,0,0,448160,0,0,,,
0,0,0,434684,0,0,,,
0,0,0,446414,0,0,,,
0,0,0,444188,0,0,,,
0,0,0,531908,0,0,,,
0,0,0,431608,0,0,,,
0,0,0,428600,0,0,,,
0,0,0,425383,0,0,,,
0,0,0,417740,0,0,,,
0,0,0,412544,0,0,,,
0,0,0,416150,0,0,,,
0,0,0,433194,0,0,,,
0,0,0,427842,0,0,,,
0,0,0,416083,0,0,,,
0,0,0,415732,0,0,,,
0,0,0,420848,0,0,,,
0,0,0,411850,0,0,,,
0,0,0,421133,0,0,,,
0,0,0,429167,0,0,,,
0,0,0,427669,0,0,,,
0,0,0,404504,0,0,,,
0,0,0,410558,0,0,,,
0,0,0,414008,0,0,,,
0,0,0,412510,0,0,,,
0,0,0,423095,0,0,,,
0,0,0,425556,0,0,,,
0,0,0,411402,0,0,,,
0,0,0,412457,0,0,,,
0,0,0,412625,0,0,,,
0,0,0,417169,0,0,,,
0,0,0,430566,0,0,,,
0,0,0,423287,0,0,,,
0,0,0,411476,0,0,,,
0,0,0,421229,0,0,,,
0,0,0,415252,0,0,,,
0,0,0,420003,0,0,,,
0,0,0,425693,0,0,,,
0,0,0,434091,0,0,,,
0,0,0,467437,0,0,,,
0,0,0,413387,0,0,,,
0,0,0,410066,0,0,,,
0,0,0,432630,0,0,,,
0,0,0,430820,0,0,,,
0,0,0,403281,0,0,,,
0,0,0,401731,0,0,,,
0,0,0,411483,0,0,,,
0,0,0,408682,0,0,,,
0,0,0,422028,0,0,,,
0,0,0,421312,0,0,,,
0,0,0,411168,0,0,,,
0,0,0,422327,0,0,,,
0,0,0,409162,0,0,,,
0,0,0,420528,0,0,,,
0,0,0,433249,0,0,,,
0,0,0,412012,0,0,,,
0,0,0,410774,0,0,,,
0,0,0,410422,0,0,,,
0,0,0,409810,0,0,,,
0,0,0,418832,0,0,,,
0,0,0,422491,0,0,,,
0,0,0,418024,0,0,,,
0,0,0,412776,0,0,,,
0,0,0,412007,0,0,,,
0,0,0,441759,0,0,,,
0,0,0,413855,0,0,,,
0,0,0,422097,0,0,,,
0,0,0,433203,0,0,,,
0,0,0,417434,0,0,,,
0,0,0,411509,0,0,,,
0,0,0,421521,0,0,,,
0,0,0,417263,0,0,,,
0,0,0,426390,0,0,,,
0,0,0,431559,0,0,,,
0,0,0,414541,0,0,,,
0,0,0,410230,0,0,,,
0,0,0,411545,0,0,,,
0,0,0,431453,0,0,,,
0,0,0,416413,0,0,,,
0,0,0,412623,0,0,,,
0,0,0,413052,0,0,,,
0,0,0,411399,0,0,,,
0,0,0,413182,0,0,,,
0,0,0,429288,0,0,,,
0,0,0,473773,0,0,,,
0,0,0,458045,0,0,,,
0,0,0,431848,0,0,,,
0,0,0,496172,0,0,,,
0,0,0,530079,0,0,,,
0,0,0,470914,0,0,,,
0,0,0,463207,0,0,,,
0,0,0,452531,0,0,,,
0,0,0,466438,0,0,,,
0,0,0,453263,0,0,,,
0,0,0,471441,0,0,,,
0,0,0,459932,0,0,,,
0,0,0,447225,0,0,,,
0,0,0,449466,0,0,,,
0,0,0,471810,0,0,,,
0,0,0,470301,0,0,,,
0,0,0,436761,0,0,,,
0,0,0,444836,0,0,,,
0,0,0,442181,0,0,,,
0,0,0,441244,0,0,,,
0,0,0,452443,0,0,,,
0,0,0,418331,0,0,,,
0,0,0,431977,0,0,,,
0,0,0,426197,0,0,,,
0,0,0,405782,0,0,,,
0,0,0,409533,0,0,,,
0,0,0,407452,0,0,,,
0,0,0,418598,0,0,,,
0,0,0,423235,0,0,,,
0,0,0,432820,0,0,,,
0,0,0,413915,0,0,,,
0,0,0,409072,0,0,,,
0,0,0,412511,0,0,,,
0,0,0,410637,0,0,,,
0,0,0,429753,0,0,,,
0,0,0,429859,0,0,,,
0,0,0,412620,0,0,,,
0,0,0,422413,0,0,,,
0,0,0,462310,0,0,,,
0,0,0,457937,0,0,,,
0,0,0,451062,0,0,,,
0,0,0,460908,0,0,,,
0,0,0,564710,0,0,,,
0,0,0,506743,0,0,,,
0,0,0,461432,0,0,,,
0,0,0,454663,0,0,,,
0,0,0,468206,0,0,,,
0,0,0,451540,0,0,,,
0,0,0,450500,0,0,,,
0,0,0,446387,0,0,,,
0,0,0,436284,0,0,,,
0,0,0,460504,0,0,,,
0,0,0,445140,0,0,,,
0,0,0,437589,0,0,,,
0,0,0,440612,0,0,,,
0,0,0,441707,0,0,,,
0,0,0,433948,0,0,,,
0,0,0,476292,0,0,,,
0,0,0,544574,0,0,,,
0,0,0,429941,0,0,,,
0,0,0,417286,0,0,,,
0,0,0,414787,0,0,,,
0,0,0,427445,0,0,,,
0,0,0,430779,0,0,,,
0,0,0,417134,0,0,,,
0,0,0,413126,0,0,,,
0,0,0,403284,0,0,,,
0,0,0,430888,0,0,,,
0,0,0,424588,0,0,,,
0,0,0,403391,0,0,,,
0,0,0,406465,0,0,,,
0,0,0,404071,0,0,,,
0,0,0,414697,0,0,,,
0,0,0,430219,0,0,,,
0,0,0,405376,0,0,,,
0,0,0,402617,0,0,,,
0,0,0,403243,0,0,,,
0,0,0,413661,0,0,,,
0,0,0,428662,0,0,,,
0,0,0,407466,0,0,,,
0,0,0,404603,0,0,,,
0,0,0,413927,0,0,,,
0,0,0,418407,0,0,,,
0,0,0,435440,0,0,,,
0,0,0,418514,0,0,,,
0,0,0,414714,0,0,,,
0,0,0,410183,0,0,,,
0,0,0,419091,0,0,,,
0,0,0,432009,0,0,,,
0,0,0,408104,0,0,,,
0,0,0,411439,0,0,,,
0,0,0,409460,0,0,,,
0,0,0,415034,0,0,,,
0,0,0,435139,0,0,,,
0,0,0,454881,0,0,,,
0,0,0,435611,0,0,,,
0,0,0,420040,0,0,,,
0,0,0,486238,0,0,,,
0,0,0,521299,0,0,,,
0,0,0,458061,0,0,,,
0,0,0,442041,0,0,,,
0,0,0,499463,0,0,,,
0,0,0,479174,0,0,,,
0,0,0,560605,0,0,,,
0,0,0,492089,0,0,,,
0,0,0,447897,0,0,,,
0,0,0,461567,0,0,,,
0,0,0,451592,0,0,,,
0,0,0,447711,0,0,,,
0,0,0,440080,0,0,,,
0,0,0,432761,0,0,,,
0,0,0,446953,0,0,,,
0,0,0,458384,0,0,,,
0,0,0,440701,0,0,,,
0,0,0,473278,0,0,,,
0,0,0,537939,0,0,,,
0,0,0,478902,0,0,,,
0,0,0,440594,0,0,,,
0,0,0,444838,0,0,,,
0,0,0,434811,0,0,,,
0,0,0,464836,0,0,,,
0,0,0,455329,0,0,,,
0,0,0,438480,0,0,,,
0,0,0,436942,0,0,,,
0,0,0,446238,0,0,,,
0,0,0,460690,0,0,,,
0,0,0,449621,0,0,,,
0,0,0,446729,0,0,,,
0,0,0,474775,0,0,,,
0,0,0,463498,0,0,,,
0,0,0,469617,0,0,,,
0,0,0,527298,0,0,,,
0,0,0,473523,0,0,,,
0,0,0,415578,0,0,,,
0,0,0,420135,0,0,,,
0,0,0,413545,0,0,,,
0,0,0,417007,0,0,,,
0,0,0,426562,0,0,,,
0,0,0,414192,0,0,,,
0,0,0,415049,0,0,,,
0,0,0,410595,0,0,,,
0,0,0,416870,0,0,,,
0,0,0,431061,0,0,,,
0,0,0,427544,0,0,,,
0,0,0,417829,0,0,,,
0,0,0,412385,0,0,,,
0,0,0,417305,0,0,,,
0,0,0,434829,0,0,,,
0,0,0,431104,0,0,,,
0,0,0,414775,0,0,,,
0,0,0,410373,0,0,,,
0,0,0,438001,0,0,,,
0,0,0,428129,0,0,,,
0,0,0,422113,0,0,,,
0,0,0,421825,0,0,,,
0,0,0,413464,0,0,,,
0,0,0,409009,0,0,,,
0,0,0,417263,0,0,,,
0,0,0,435360,0,0,,,
0,0,0,413458,0,0,,,
0,0,0,415774,0,0,,,
0,0,0,410851,0,0,,,
0,0,0,413845,0,0,,,
0,0,0,425848,0,0,,,
0,0,0,429726,0,0,,,
0,0,0,417304,0,0,,,
0,0,0,416234,0,0,,,
0,0,0,421571,0,0,,,
0,0,0,421336,0,0,,,
0,0,0,432715,0,0,,,
0,0,0,433833,0,0,,,
0,0,0,439899,0,0,,,
0,0,0,424351,0,0,,,
0,0,0,421199,0,0,,,
0,0,0,415703,0,0,,,
0,0,0,431196,0,0,,,
0,0,0,437679,0,0,,,
0,0,0,421923,0,0,,,
0,0,0,417051,0,0,,,
0,0,0,422492,0,0,,,
0,0,0,428142,0,0,,,
0,0,0,415615,0,0,,,
0,0,0,430014,0,0,,,
0,0,0,415664,0,0,,,
