Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,
0,0,0,2128433488,0,0,,,219398234.2
0,0,0,2128350710,0,0,,,
0,0,0,2128444447,0,0,,,
0,0,0,2128368638,0,0,,,
0,0,0,2128343978,0,0,,,
0,0,0,2128293823,0,0,,,
0,0,0,2128291865,0,0,,,
0,0,0,2128290682,0,0,,,
0,0,0,2128297313,0,0,,,
0,0,0,2128304567,0,0,,,
0,0,0,2128301659,0,0,,,
0,0,0,2128301832,0,0,,,
0,0,0,2128323358,0,0,,,
0,0,0,2128318896,0,0,,,
0,0,0,2128325265,0,0,,,
0,0,0,2128322729,0,0,,,
0,0,0,2128330506,0,0,,,
0,0,0,2128336718,0,0,,,
0,0,0,2128356370,0,0,,,
0,0,0,2128350084,0,0,,,
0,0,0,2128370466,0,0,,,
0,0,0,2128359909,0,0,,,
0,0,0,2128366695,0,0,,,
0,0,0,2128369888,0,0,,,
0,0,0,2128383028,0,0,,,
0,0,0,2128387731,0,0,,,
0,0,0,2128391756,0,0,,,
0,0,0,2128387918,0,0,,,
0,0,0,2128395172,0,0,,,
0,0,0,2128419198,0,0,,,
0,0,0,2128407495,0,0,,,
0,0,0,2128417615,0,0,,,
0,0,0,2128483782,0,0,,,
0,0,0,2128434504,0,0,,,
0,0,0,2128426970,0,0,,,
0,0,0,2128430685,0,0,,,
0,0,0,2128434505,0,0,,,
0,0,0,2128437335,0,0,,,
0,0,0,2128452613,0,0,,,
0,0,0,2128498412,0,0,,,
0,0,2147483646,0,0,0,,,
0,0,2147483646,0,0,0,,,
0,0,0,2128473727,0,0,,,
0,0,0,2128467390,0,0,,,
0,0,0,2128475167,0,0,,,
0,0,0,2128479456,0,0,,,
0,0,0,2128496192,0,0,,,
0,0,0,2128500480,0,0,,,
0,0,0,2128498154,0,0,,,
0,0,0,2128507128,0,0,,,
0,0,0,2128500426,0,0,,,
0,0,0,2128504660,0,0,,,
0,0,0,2128514209,0,0,,,
0,0,0,2128517767,0,0,,,
0,0,0,2128525754,0,0,,,
0,0,0,2128532800,0,0,,,
0,0,0,2128543079,0,0,,,
0,0,0,2128592539,0,0,,,
0,0,0,2128625668,0,0,,,
0,0,0,2128604846,0,0,,,
0,0,0,2128559999,0,0,,,
0,0,0,2128658749,0,0,,,
0,0,0,2128705101,0,0,,,
0,0,0,2128686206,0,0,,,
0,0,0,2128645516,0,0,,,
0,0,0,2128638868,0,0,,,
0,0,0,2128663415,0,0,,,
0,0,0,2128661396,0,0,,,
0,0,0,2128658031,0,0,,,
0,0,0,2128667372,0,0,,,
0,0,0,2128688115,0,0,,,
0,0,0,2128721258,0,0,,,
0,0,0,2128698839,0,0,,,
0,0,0,2128697824,0,0,,,
0,0,0,2128715454,0,0,,,
0,0,0,2128727467,0,0,,,
0,0,0,2128814767,0,0,,,
0,0,0,2128723237,0,0,,,
0,0,0,2128716387,0,0,,,
0,0,0,2128786505,0,0,,,
0,0,0,2128756300,0,0,,,
0,0,0,2128761596,0,0,,,
0,0,0,2128731368,0,0,,,
0,0,0,2128736177,0,0,,,
0,0,0,2128748327,0,0,,,
0,0,0,2128747042,0,0,,,
0,0,0,2128752892,0,0,,,
0,0,0,2128757547,0,0,,,
0,0,0,2128817515,0,0,,,
0,0,0,2128796230,0,0,,,
0,0,0,2128796098,0,0,,,
0,0,0,2128792623,0,0,,,
